horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.0010704021327808115,,,
5,bootstrap_draw,8,10000,8937,-0.001065070683443832,,,
5,bootstrap_draw,8,10000,8937,-0.0010553637225531847,,,
5,bootstrap_draw,8,10000,8937,-0.0010584269400455398,,,
5,bootstrap_draw,8,10000,8937,-0.0010722761895596506,,,
5,bootstrap_draw,8,10000,8937,-0.0010646303162425382,,,
5,bootstrap_draw,8,10000,8937,-0.001074046007997715,,,
5,bootstrap_draw,8,10000,8937,-0.0010573268508710315,,,
5,bootstrap_draw,8,10000,8937,-0.0010672501152902763,,,
5,bootstrap_draw,8,10000,8937,-0.0010573232290219767,,,
15,midpoint,4,0,9895,-0.00037063560369375104,-0.00036267638278046876,0.27791814047498736,-43.41863658030828
15,midpoint,8,0,9895,-0.0007706356036937511,-0.0007626763827804688,0.1276402223345124,-90.2772072600795
15,midpoint,12,0,9895,-0.0011706356036937508,-0.0011626763827804686,0.05750378979282466,-137.1357779398507
15,top10_sweep,4,10000,8918,-0.0006517727667445937,-0.0006411070901500861,0.16248037676609106,-71.97502911838363
15,top10_sweep,8,10000,8918,-0.001051772766744594,-0.001041107090150086,0.07008297824624356,-116.14688335394919
15,top10_sweep,12,10000,8918,-0.0014517727667445934,-0.001441107090150086,0.032854900201838975,-160.31873758951468
15,top10_sweep,4,50000,1476,-0.0009738745993754782,-0.0009646972372287256,0.07926829268292683,-48.24721369704016
